Election Code,Election Title,County Code,County Name,Contest Code,Contest Title,Candidate Number,Candidate Name,Votes,Party Code
1001030,GENERAL ELECTION 2018,1,Jefferson,1000960,AL-06,1,Danner Kline,55122,DEM
1001030,GENERAL ELECTION 2018,1,Jefferson,1000960,AL-06,2,Gary Palmer,96352,REP
1001030,GENERAL ELECTION 2018,1,Jefferson,1000960,AL-06,3,Write-In,73,NON
1001030,GENERAL ELECTION 2018,1,Jefferson,1000970,AL-07,1,Terri A. Sewell,90900,DEM
1001030,GENERAL ELECTION 2018,1,Jefferson,1000970,AL-07,2,Write-In,1223,NON
1001030,GENERAL ELECTION 2018,1,Jefferson,1001000,GOVERNOR,1,Walt Maddox,151736,DEM
1001030,GENERAL ELECTION 2018,1,Jefferson,1001000,GOVERNOR,2,Kay Ivey,105509,REP
1001030,GENERAL ELECTION 2018,1,Jefferson,1001000,GOVERNOR,3,Write-In,302,NON
1001030,GENERAL ELECTION 2018,2,Mobile,1000910,AL-01,1,"Robert Kennedy, Jr.",59853,DEM
1001030,GENERAL ELECTION 2018,2,Mobile,1000910,AL-01,2,Bradley Byrne,71941,REP
1001030,GENERAL ELECTION 2018,2,Mobile,1000910,AL-01,3,Write-In,93,NON
1001030,GENERAL ELECTION 2018,2,Mobile,1001000,GOVERNOR,1,Walt Maddox,62912,DEM
1001030,GENERAL ELECTION 2018,2,Mobile,1001000,GOVERNOR,2,Kay Ivey,69117,REP
1001030,GENERAL ELECTION 2018,2,Mobile,1001000,GOVERNOR,3,Write-In,157,NON
1001030,GENERAL ELECTION 2018,3,Montgomery,1000920,AL-02,1,Tabitha Isner,28292,DEM
1001030,GENERAL ELECTION 2018,3,Montgomery,1000920,AL-02,2,Martha Roby,18033,REP
1001030,GENERAL ELECTION 2018,3,Montgomery,1000920,AL-02,3,Write-In,53,NON
1001030,GENERAL ELECTION 2018,3,Montgomery,1000930,AL-03,1,Mallory Hagan,6912,DEM
1001030,GENERAL ELECTION 2018,3,Montgomery,1000930,AL-03,2,Mike Rogers,8153,REP
1001030,GENERAL ELECTION 2018,3,Montgomery,1000930,AL-03,3,Write-In,11,NON
1001030,GENERAL ELECTION 2018,3,Montgomery,1000970,AL-07,1,Terri A. Sewell,14693,DEM
1001030,GENERAL ELECTION 2018,3,Montgomery,1000970,AL-07,2,Write-In,49,NON
1001030,GENERAL ELECTION 2018,3,Montgomery,1001000,GOVERNOR,1,Walt Maddox,48534,DEM
1001030,GENERAL ELECTION 2018,3,Montgomery,1001000,GOVERNOR,2,Kay Ivey,28405,REP
1001030,GENERAL ELECTION 2018,3,Montgomery,1001000,GOVERNOR,3,Write-In,62,NON
1001030,GENERAL ELECTION 2018,4,Autauga,1000920,AL-02,1,Tabitha Isner,6210,DEM
1001030,GENERAL ELECTION 2018,4,Autauga,1000920,AL-02,2,Martha Roby,13389,REP
1001030,GENERAL ELECTION 2018,4,Autauga,1000920,AL-02,3,Write-In,44,NON
1001030,GENERAL ELECTION 2018,4,Autauga,1001000,GOVERNOR,1,Walt Maddox,5726,DEM
1001030,GENERAL ELECTION 2018,4,Autauga,1001000,GOVERNOR,2,Kay Ivey,13981,REP
1001030,GENERAL ELECTION 2018,4,Autauga,1001000,GOVERNOR,3,Write-In,21,NON
1001030,GENERAL ELECTION 2018,5,Baldwin,1000910,AL-01,1,"Robert Kennedy, Jr.",17692,DEM
1001030,GENERAL ELECTION 2018,5,Baldwin,1000910,AL-01,2,Bradley Byrne,59655,REP
1001030,GENERAL ELECTION 2018,5,Baldwin,1000910,AL-01,3,Write-In,57,NON
1001030,GENERAL ELECTION 2018,5,Baldwin,1001000,GOVERNOR,1,Walt Maddox,20363,DEM
