Race Statistics ,Number of Precincts ,NP ,Total ,442,NA
Race Statistics ,Number of Precincts Reporting ,NP ,Total ,442,NA
US REPRESENTATIVE ,Number of Precincts for Race ,NP ,Total ,442,NA
US REPRESENTATIVE ,Number of Precincts Reporting ,NP ,Total ,442,NA
US REPRESENTATIVE ,Registered Voters ,NP ,Total ,571851,NA
US REPRESENTATIVE ,Times Counted ,NP ,Total ,280458,NA
US REPRESENTATIVE ,"Galvin, Alyse S. ",DEM ,Total ,128858,NA
US REPRESENTATIVE ,"Young, Don ",REP ,Total ,147620,NA
US REPRESENTATIVE ,Write-in ,NP ,Total ,1169,NA
GOVERNOR/LT. GOVERNOR ,Number of Precincts for Race ,NP ,Total ,441,NA
GOVERNOR/LT. GOVERNOR ,Number of Precincts Reporting ,NP ,Total ,441,NA
GOVERNOR/LT. GOVERNOR ,Registered Voters ,NP ,Total ,571320,NA
GOVERNOR/LT. GOVERNOR ,Times Counted ,NP ,Total ,280348,NA
GOVERNOR/LT. GOVERNOR ,Begich/Call ,DEM ,Total ,123446,NA
GOVERNOR/LT. GOVERNOR ,Dunleavy/Meyer ,REP ,Total ,143612,NA
GOVERNOR/LT. GOVERNOR ,Toien/Clift ,LIB ,Total ,5304,NA
GOVERNOR/LT. GOVERNOR ,Walker/Mallott ,NA ,Total ,5642,NA
GOVERNOR/LT. GOVERNOR ,Write-in ,NP ,Total ,593,NA
SENATE DISTRICT A ,Number of Precincts for Race ,NP ,Total ,13,NA
SENATE DISTRICT A ,Number of Precincts Reporting ,NP ,Total ,13,NA
SENATE DISTRICT A ,Registered Voters ,NP ,Total ,24772,NA
SENATE DISTRICT A ,Times Counted ,NP ,Total ,9083,NA
SENATE DISTRICT A ,"Kawasaki, Scott ",DEM ,Total ,4564,NA
SENATE DISTRICT A ,"Kelly, Pete ",REP ,Total ,4391,NA
SENATE DISTRICT A ,Write-in ,NP ,Total ,37,NA
SENATE DISTRICT C ,Number of Precincts for Race ,NP ,Total ,42,NA
SENATE DISTRICT C ,Number of Precincts Reporting ,NP ,Total ,42,NA
SENATE DISTRICT C ,Registered Voters ,NP ,Total ,28540,NA
SENATE DISTRICT C ,Times Counted ,NP ,Total ,13627,NA
SENATE DISTRICT C ,"Bishop, Click ",REP ,Total ,10026,NA
SENATE DISTRICT C ,Write-in ,NP ,Total ,863,NA
SENATE DISTRICT E ,Number of Precincts for Race ,NP ,Total ,22,NA
SENATE DISTRICT E ,Number of Precincts Reporting ,NP ,Total ,22,NA
SENATE DISTRICT E ,Registered Voters ,NP ,Total ,31776,NA
SENATE DISTRICT E ,Times Counted ,NP ,Total ,15981,NA
SENATE DISTRICT E ,"Kay, Susan ",DEM ,Total ,3987,NA
SENATE DISTRICT E ,"Shower, Michael K. ",REP ,Total ,11550,NA
SENATE DISTRICT E ,Write-in ,NP ,Total ,48,NA
SENATE DISTRICT G ,Number of Precincts for Race ,NP ,Total ,13,NA
SENATE DISTRICT G ,Number of Precincts Reporting ,NP ,Total ,13,NA
SENATE DISTRICT G ,Registered Voters ,NP ,Total ,29153,NA
SENATE DISTRICT G ,Times Counted ,NP ,Total ,13346,NA
SENATE DISTRICT G ,"Schiess, Oliver ",DEM ,Total ,4895,NA
SENATE DISTRICT G ,"Reinbold, Lora H. ",REP ,Total ,8229,NA
SENATE DISTRICT G ,Write-in ,NP ,Total ,65,NA
SENATE DISTRICT I ,Number of Precincts for Race ,NP ,Total ,17,NA
SENATE DISTRICT I ,Number of Precincts Reporting ,NP ,Total ,17,NA
SENATE DISTRICT I ,Registered Voters ,NP ,Total ,26979,NA
SENATE DISTRICT I ,Times Counted ,NP ,Total ,11445,NA
SENATE DISTRICT I ,"Gray-Jackson, Elvi ",DEM ,Total ,6706,NA
SENATE DISTRICT I ,"Crawford, Jim ",REP ,Total ,4456,NA
SENATE DISTRICT I ,Write-in ,NP ,Total ,38,NA
SENATE DISTRICT K ,Number of Precincts for Race ,NP ,Total ,15,NA
SENATE DISTRICT K ,Number of Precincts Reporting ,NP ,Total ,15,NA
SENATE DISTRICT K ,Registered Voters ,NP ,Total ,29067,NA
SENATE DISTRICT K ,Times Counted ,NP ,Total ,15071,NA
SENATE DISTRICT K ,"Cason, Sam ",DEM ,Total ,6272,NA
SENATE DISTRICT K ,"Costello, Mia ",REP ,Total ,8367,NA
SENATE DISTRICT K ,Write-in ,NP ,Total ,44,NA
SENATE DISTRICT M ,Number of Precincts for Race ,NP ,Total ,15,NA
SENATE DISTRICT M ,Number of Precincts Reporting ,NP ,Total ,15,NA
SENATE DISTRICT M ,Registered Voters ,NP ,Total ,29742,NA
SENATE DISTRICT M ,Times Counted ,NP ,Total ,15091,NA
SENATE DISTRICT M ,"Birch, Chris ",REP ,Total ,8631,NA
SENATE DISTRICT M ,"Park, Janice ",DEM ,Total ,6078,NA
SENATE DISTRICT M ,Write-in ,NP ,Total ,42,NA
SENATE DISTRICT O ,Number of Precincts for Race ,NP ,Total ,17,NA
SENATE DISTRICT O ,Number of Precincts Reporting ,NP ,Total ,17,NA
SENATE DISTRICT O ,Registered Voters ,NP ,Total ,31354,NA
SENATE DISTRICT O ,Times Counted ,NP ,Total ,16014,NA
SENATE DISTRICT O ,"Micciche, Peter A. ",REP ,Total ,9477,NA
SENATE DISTRICT O ,Write-in ,NP ,Total ,4729,NA
SENATE DISTRICT Q ,Number of Precincts for Race ,NP ,Total ,18,NA
SENATE DISTRICT Q ,Number of Precincts Reporting ,NP ,Total ,18,NA
SENATE DISTRICT Q ,Registered Voters ,NP ,Total ,31443,NA
SENATE DISTRICT Q ,Times Counted ,NP ,Total ,18152,NA
SENATE DISTRICT Q ,"Kiehl, Jesse ",DEM ,Total ,10921,NA
SENATE DISTRICT Q ,"Etheridge, Don R. ",NA ,Total ,6719,NA
SENATE DISTRICT Q ,Write-in ,NP ,Total ,49,NA
SENATE DISTRICT S ,Number of Precincts for Race ,NP ,Total ,66,NA
SENATE DISTRICT S ,Number of Precincts Reporting ,NP ,Total ,66,NA
SENATE DISTRICT S ,Registered Voters ,NP ,Total ,22281,NA
SENATE DISTRICT S ,Times Counted ,NP ,Total ,9686,NA
SENATE DISTRICT S ,"Hoffman, Lyman F. ",DEM ,Total ,8042,NA
SENATE DISTRICT S ,Write-in ,NP ,Total ,385,NA
HOUSE DISTRICT 1 ,Number of Precincts for Race ,NP ,Total ,9,NA
HOUSE DISTRICT 1 ,Number of Precincts Reporting ,NP ,Total ,9,NA
HOUSE DISTRICT 1 ,Registered Voters ,NP ,Total ,13392,NA
HOUSE DISTRICT 1 ,Times Counted ,NP ,Total ,5398,NA
HOUSE DISTRICT 1 ,"LeBon, Barton S. ",REP ,Total ,2660,NA
HOUSE DISTRICT 1 ,"Dodge, Kathryn E. ",DEM ,Total ,2655,NA
HOUSE DISTRICT 1 ,Write-in ,NP ,Total ,17,NA
HOUSE DISTRICT 2 ,Number of Precincts for Race ,NP ,Total ,4,NA
HOUSE DISTRICT 2 ,Number of Precincts Reporting ,NP ,Total ,4,NA
HOUSE DISTRICT 2 ,Registered Voters ,NP ,Total ,11380,NA
HOUSE DISTRICT 2 ,Times Counted ,NP ,Total ,3592,NA
HOUSE DISTRICT 2 ,"Thompson, Steve ",REP ,Total ,2340,NA
HOUSE DISTRICT 2 ,"Lawrence, Van ",DEM ,Total ,1182,NA
HOUSE DISTRICT 2 ,Write-in ,NP ,Total ,12,NA
HOUSE DISTRICT 3 ,Number of Precincts for Race ,NP ,Total ,5,NA
HOUSE DISTRICT 3 ,Number of Precincts Reporting ,NP ,Total ,5,NA
HOUSE DISTRICT 3 ,Registered Voters ,NP ,Total ,14159,NA
HOUSE DISTRICT 3 ,Times Counted ,NP ,Total ,5918,NA
HOUSE DISTRICT 3 ,"Wilson, Tammie ",REP ,Total ,4848,NA
HOUSE DISTRICT 3 ,Write-in ,NP ,Total ,413,NA
HOUSE DISTRICT 4 ,Number of Precincts for Race ,NP ,Total ,7,NA
HOUSE DISTRICT 4 ,Number of Precincts Reporting ,NP ,Total ,7,NA
HOUSE DISTRICT 4 ,Registered Voters ,NP ,Total ,14783,NA
HOUSE DISTRICT 4 ,Times Counted ,NP ,Total ,8508,NA
HOUSE DISTRICT 4 ,"Sackett, Jim ",REP ,Total ,3650,NA
HOUSE DISTRICT 4 ,"Lamkin, Tim ",NA ,Total ,395,NA
HOUSE DISTRICT 4 ,"Hopkins, Grier ",DEM ,Total ,4355,NA
HOUSE DISTRICT 4 ,Write-in ,NP ,Total ,18,NA
HOUSE DISTRICT 5 ,Number of Precincts for Race ,NP ,Total ,9,NA
HOUSE DISTRICT 5 ,Number of Precincts Reporting ,NP ,Total ,9,NA
HOUSE DISTRICT 5 ,Registered Voters ,NP ,Total ,13644,NA
HOUSE DISTRICT 5 ,Times Counted ,NP ,Total ,6698,NA
HOUSE DISTRICT 5 ,"Wool, Adam L. ",DEM ,Total ,3483,NA
HOUSE DISTRICT 5 ,"McKinley, Kevin ",REP ,Total ,3057,NA
HOUSE DISTRICT 5 ,Write-in ,NP ,Total ,30,NA
HOUSE DISTRICT 6 ,Number of Precincts for Race ,NP ,Total ,33,NA
HOUSE DISTRICT 6 ,Number of Precincts Reporting ,NP ,Total ,33,NA
HOUSE DISTRICT 6 ,Registered Voters ,NP ,Total ,14896,NA
HOUSE DISTRICT 6 ,Times Counted ,NP ,Total ,6878,NA
HOUSE DISTRICT 6 ,"Alexander, Ed ",DEM ,Total ,2720,NA
HOUSE DISTRICT 6 ,"Talerico, David M. ",REP ,Total ,3995,NA
HOUSE DISTRICT 6 ,Write-in ,NP ,Total ,25,NA
HOUSE DISTRICT 7 ,Number of Precincts for Race ,NP ,Total ,7,NA
HOUSE DISTRICT 7 ,Number of Precincts Reporting ,NP ,Total ,7,NA
HOUSE DISTRICT 7 ,Registered Voters ,NP ,Total ,15432,NA
HOUSE DISTRICT 7 ,Times Counted ,NP ,Total ,6948,NA
HOUSE DISTRICT 7 ,"Sullivan-Leonard, Co ",REP ,Total ,5698,NA
HOUSE DISTRICT 7 ,Write-in ,NP ,Total ,285,NA
HOUSE DISTRICT 8 ,Number of Precincts for Race ,NP ,Total ,6,NA
HOUSE DISTRICT 8 ,Number of Precincts Reporting ,NP ,Total ,6,NA
HOUSE DISTRICT 8 ,Registered Voters ,NP ,Total ,15678,NA
HOUSE DISTRICT 8 ,Times Counted ,NP ,Total ,7216,NA
HOUSE DISTRICT 8 ,"Neuman, Mark ",REP ,Total ,5123,NA
HOUSE DISTRICT 8 ,"Chesbro, James L. ",DEM ,Total ,1183,NA
HOUSE DISTRICT 8 ,"Fish, Mark ",LIB ,Total ,766,NA
HOUSE DISTRICT 8 ,Write-in ,NP ,Total ,14,NA
HOUSE DISTRICT 9  ,Number of Precincts for Race ,NP ,Total ,11,NA
HOUSE DISTRICT 9  ,Number of Precincts Reporting ,NP ,Total ,11,NA
HOUSE DISTRICT 9  ,Registered Voters ,NP ,Total ,15635,NA
HOUSE DISTRICT 9  ,Times Counted ,NP ,Total ,7920,NA
