AR-01,County,REP,DEM,LIB,Write-In,Total
AR-01,Arkansas,3428,1406,86,,4920
AR-01,Baxter,10712,3189,354,,14255
AR-01,Chicot,1537,1929,61,,3527
AR-01,Clay,3182,842,90,,4114
AR-01,Cleburne,7928,1503,185,,9616
AR-01,Craighead,17389,8087,566,,26042
AR-01,Crittenden,5601,6085,176,,11862
AR-01,Cross,4235,1441,104,,5780
AR-01,Desha,1658,1653,83,,3394
AR-01,Fulton,2790,933,75,,3798
AR-01,Greene,8470,2176,268,,10914
AR-01,Independence,7869,1980,240,,10089
AR-01,Izard,3524,838,85,,4447
AR-01,Jackson,3014,1082,73,,4169
AR-01,Jefferson,113,207,10,,330
AR-01,Lawrence,3616,922,126,,4664
AR-01,Lee,924,1154,23,,2101
AR-01,Lincoln,1967,869,175,,3011
AR-01,Lonoke,15724,4254,507,,20485
AR-01,Mississippi,6451,3647,255,,10353
AR-01,Monroe,1408,1131,49,,2588
AR-01,Phillips,2178,3117,72,,5367
AR-01,Poinsett,4651,1273,164,,6088
AR-01,Prairie,2144,628,55,,2827
AR-01,Randolph,4268,1149,186,,5603
AR-01,Searcy,2396,456,103,,2955
AR-01,Sharp,4407,1102,131,,5640
AR-01,St Francis,2585,3033,129,,5747
AR-01,Stone,3344,954,107,,4405
AR-01,Woodruff,1208,829,40,,2077
AR-01,Total:,138721,57869,4578,,201168
AR-02,Conway,3907,2443,111,,6461
AR-02,Faulkner,23702,13737,1099,,38538
AR-02,Perry,2568,1047,88,,3703
AR-02,Pulaski,52467,80138,2289,,134894
AR-02,Saline,28284,12321,953,,41558
AR-02,Van Buren,4518,1595,153,,6266
AR-02,White,16528,4807,494,,21829
AR-02,Total:,131974,116088,5187,,253249
AR-03,Benton,51473,23804,2168,46,77491
AR-03,Boone,9132,2239,233,3,11607
AR-03,Carroll,5663,3094,188,8,8953
AR-03,Crawford,9371,2361,308,5,12045
AR-03,Marion,3914,1073,117,1,5105
AR-03,Newton,1135,222,19,1,1377
AR-03,Pope,13690,3876,385,8,17959
AR-03,Searcy,149,20,4,0,173
AR-03,Sebastian,19804,8475,873,19,29171
AR-03,Washington,34346,29775,1602,49,65772
AR-03,Total:,148677,74939,5897,140,229653
AR-04,Ashley,4143,1888,83,12,6126
AR-04,Bradley,1832,937,70,0,2839
AR-04,Calhoun,1268,483,28,0,1779
AR-04,Clark,3767,2848,107,7,6729
AR-04,Cleveland,2015,535,38,2,2590
AR-04,Columbia,4092,2169,66,3,6330
AR-04,Crawford,3718,939,116,5,4778
AR-04,Dallas,1280,807,25,1,2113
AR-04,Drew,3432,1819,97,4,5352
AR-04,Franklin,4023,1119,117,2,5261
AR-04,Garland,21187,9988,568,26,31769
AR-04,Grant,4463,988,94,3,5548
