CO-01,County,Registered Voters,REP,DEM,LIB,INDEPENDENT,TOTAL
CO-01,Arapahoe,38704,8300,15645,850,,24795
CO-01,Denver,484843,57175,239228,9581,,305984
CO-01,Jefferson,54245,19719,17961,1167,,38847
CO-01,Total:,577792,85194,272834,11598,,369626
CO-02,Boulder,181703,100063,22167,2352,3894,128476
CO-02,Broomfield,51958,20290,13019,776,1564,35649
CO-02,Clear Creek,8244,2847,2062,156,253,5318
CO-02,Eagle,0,3641,1527,142,238,5548
CO-02,Gilpin,0,1732,1304,107,198,3341
CO-02,Grand,12013,3286,3590,219,431,7526
CO-02,Jefferson,66708,24426,22007,1185,1698,49316
CO-02,Larimer,258441,92787,72558,4330,7113,176788
CO-02,Park,7135,1609,2545,124,252,4530
CO-02,Summit,0,8835,4068,354,702,13959
CO-02,Total:,586202,259516,144847,9745,16343,430451
CO-03,Alamosa,10393,2977,2875,89,147,6088
CO-03,Archuleta,11177,3850,2635,99,235,6819
CO-03,Conejos,5405,1888,1547,36,89,3560
CO-03,Costilla,2842,527,1043,28,47,1645
CO-03,Custer,0,1944,799,47,98,2888
CO-03,Delta,0,9958,4543,208,480,15189
CO-03,Dolores,1742,878,257,12,52,1199
CO-03,Eagle,0,6408,9667,223,346,16644
CO-03,Garfield,0,11836,11410,348,573,24167
CO-03,Gunnison,0,2991,5383,170,248,8792
CO-03,Hinsdale,674,321,211,10,16,558
CO-03,Huerfano,5299,1764,1631,77,157,3629
CO-03,Jackson,0,599,138,17,22,776
CO-03,La Plata,45647,11586,15556,377,976,28495
CO-03,Lake,5181,1057,1645,61,97,2860
CO-03,Mesa,118265,41287,20709,1221,2380,65597
CO-03,Mineral,0,326,246,13,16,601
CO-03,Moffat,0,4347,842,82,125,5396
CO-03,Montezuma,19861,6922,4244,198,354,11718
CO-03,Montrose,28551,12767,5388,299,575,19029
CO-03,Ouray,0,1278,1826,42,76,3222
CO-03,Pitkin,15349,2446,7150,112,139,9847
CO-03,Pueblo,113893,31787,30541,1447,2877,66652
CO-03,Rio Blanco,4512,2531,396,45,66,3038
CO-03,Rio Grande,8049,2936,1804,68,138,4946
CO-03,Routt,0,4603,8353,221,252,13429
CO-03,Saguache,0,1048,1496,51,70,2665
CO-03,San Juan,0,172,264,10,11,457
CO-03,San Miguel,0,937,3032,53,75,4097
CO-03,Total:,396840,171971,145631,5664,10737,334003
CO-04,Adams,5384,2707,881,,,3588
CO-04,Arapahoe,5665,3003,834,,,3837
CO-04,Baca,2691,1543,320,,,1863
CO-04,Bent,2534,1199,643,,,1842
CO-04,Boulder,66789,15946,30004,,,45950
CO-04,Cheyenne,1401,853,130,,,983
CO-04,Crowley,2234,980,412,,,1392
CO-04,Douglas,172023,71069,46821,,,117890
CO-04,Elbert,20651,11170,3404,,,14574
CO-04,Kiowa,1035,671,96,,,767
CO-04,Kit Carson,5045,2559,515,,,3074
CO-04,Las Animas,11010,3231,2999,,,6230
CO-04,Lincoln,3283,1708,373,,,2081
CO-04,Logan,12927,6667,1863,,,8530
CO-04,Morgan,16868,7680,2927,,,10607
CO-04,Otero,0,4558,2892,,,7450
CO-04,Phillips,0,1634,398,,,2032
CO-04,Prowers,7439,3036,1097,,,4133
CO-04,Sedgwick,1840,935,269,,,1204
CO-04,Washington,3406,2129,275,,,2404
CO-04,Weld,0,77310,47727,,,125037
CO-04,Yuma,6026,3440,655,,,4095
CO-04,Total:,348251,224028,145535,,,369563
CO-05,Chaffee,15165,5035,5506,347,,10888
CO-05,El Paso,0,152456,106778,9754,,268988
CO-05,Fremont,31091,12752,5972,774,,19498
CO-05,Park,7654,2738,1803,181,,4722
CO-05,Teller,20256,8375,4042,431,,12848
CO-05,Total:,74166,181356,124101,11487,,316944
CO-06,Adams,70351,21007,22749,945,966,45667
CO-06,Arapahoe,378777,97623,138261,4117,3059,243060
CO-06,Douglas,80441,30055,26629,824,582,58090
CO-06,Total:,529569,148685,187639,5886,4607,346817
CO-07,Adams,204348,42687,73382,5490,,121559
CO-07,Jefferson,313026,77062,130900,8524,,216486
CO-07,Total:,517374,119749,204282,14014,,338045
Governor,Adams,280083,69465,93449,5841,2480,171235
Governor,Alamosa,10393,2696,3039,184,121,6040
Governor,Arapahoe,423146,106833,155056,6559,2692,271140
Governor,Archuleta,11177,3736,2800,161,79,6776
Governor,Baca,2691,1454,331,56,32,1873
Governor,Bent,2534,1086,629,72,66,1853
Governor,Boulder,248492,38419,133112,3596,1127,176254
Governor,Broomfield,51958,13582,21405,871,290,36148
Governor,Chaffee,15165,5018,5461,291,163,10933
Governor,Cheyenne,1401,809,138,20,13,980
Governor,Clear Creek,8244,2215,2932,171,58,5376
Governor,Conejos,5405,1756,1652,86,47,3541
Governor,Costilla,2842,510,1012,58,29,1609
Governor,Crowley,2234,888,400,57,43,1388
Governor,Custer,0,1869,895,67,32,2863
Governor,Delta,0,9699,4817,445,165,15126
Governor,Denver,484843,60141,238707,6831,2773,308452
Governor,Dolores,1742,868,270,29,17,1184
Governor,Douglas,252464,99123,71573,4643,1302,176641
Governor,Eagle,0,7804,13802,542,178,22326
