Senate,County,REP,DEM,WRI,NPA,REF,TOTAL
Senate,Alachua,"40,599","74,493",20,,,"115,112"
Senate,Baker,"8,579","1,945",1,,,"10,525"
Senate,Bay,"46,681","16,723",7,,,"63,411"
Senate,Bradford,"7,576","2,879",1,,,"10,456"
Senate,Brevard,"160,305","121,112",56,,,"281,473"
Senate,Broward,"211,397","472,239",0,,,"683,636"
Senate,Calhoun,"3,586","1,033",0,,,"4,619"
Senate,Charlotte,"52,916","33,525",16,,,"86,457"
Senate,Citrus,"48,008","22,660",15,,,"70,683"
Senate,Clay,"65,639","27,718",11,,,"93,368"
Senate,Collier,"101,266","54,390",6,,,"155,662"
Senate,Columbia,"17,234","7,505",6,,,"24,745"
Senate,Desoto,"5,503","3,328",0,,,"8,831"
Senate,Dixie,"4,442","1,322",0,,,"5,764"
Senate,Duval,"185,904","192,381",45,,,"378,330"
Senate,Escambia,"75,947","52,891",17,,,"128,855"
Senate,Flagler,"31,467","21,419",11,,,"52,897"
Senate,Franklin,"3,404","2,011",0,,,"5,415"
Senate,Gadsden,"6,051","13,945",1,,,"19,997"
Senate,Gilchrist,"5,703","1,633",0,,,"7,336"
Senate,Glades,"2,666","1,156",1,,,"3,823"
Senate,Gulf,"4,321","1,580",0,,,"5,901"
Senate,Hamilton,"2,856","1,671",0,,,"4,527"
Senate,Hardee,"4,455","1,916",0,,,"6,371"
Senate,Hendry,"5,304","3,542",0,,,"8,846"
Senate,Hernando,"49,501","30,798",14,,,"80,313"
Senate,Highlands,"26,282","13,398",6,,,"39,686"
Senate,Hillsborough,"239,641","281,661",72,,,"521,374"
Senate,Holmes,"5,919",856,0,,,"6,775"
Senate,Indian River,"44,798","29,195",11,,,"74,004"
Senate,Jackson,"10,791","5,182",1,,,"15,974"
Senate,Jefferson,"3,699","3,626",2,,,"7,327"
Senate,Lafayette,"2,195",623,0,,,"2,818"
Senate,Lake,"93,537","61,402",15,,,"154,954"
Senate,Lee,"174,316","114,857",41,,,"289,214"
Senate,Leon,"48,767","91,097",34,,,"139,898"
Senate,Levy,"11,658","5,319",3,,,"16,980"
Senate,Liberty,"2,076",632,0,,,"2,708"
Senate,Madison,"4,184","3,425",0,,,"7,609"
Senate,Manatee,"94,390","68,877",28,,,"163,295"
Senate,Marion,"95,592","59,025",44,,,"154,661"
Senate,Martin,"46,733","30,691",12,,,"77,436"
Senate,Miami-Dade,"316,020","485,496",31,,,"801,547"
Senate,Monroe,"18,035","18,051",4,,,"36,090"
Senate,Nassau,"31,795","11,703",3,,,"43,501"
Senate,Okaloosa,"60,924","22,902",19,,,"83,845"
Senate,Okeechobee,"7,727","3,496",1,,,"11,224"
Senate,Orange,"180,763","294,308",70,,,"475,141"
Senate,Osceola,"47,898","67,123",8,,,"115,029"
Senate,Palm Beach,"244,850","344,008",36,,,"588,894"
Senate,Pasco,"121,212","89,447",51,,,"210,710"
Senate,Pinellas,"205,935","228,712",127,,,"434,774"
Senate,Polk,"138,751","105,748",45,,,"244,544"
Senate,Putnam,"18,689","9,344",5,,,"28,038"
Senate,Santa Rosa,"56,374","19,047",10,,,"75,431"
Senate,Sarasota,"113,585","96,973",35,,,"210,593"
Senate,Seminole,"97,457","101,504",31,,,"198,992"
Senate,St. Johns,"85,031","45,638",12,,,"130,681"
Senate,St. Lucie,"59,612","63,978",34,,,"123,624"
Senate,Sumter,"52,868","21,678",3,,,"74,549"
Senate,Suwannee,"11,842","4,044",2,,,"15,888"
Senate,Taylor,"5,638","2,263",0,,,"7,901"
Senate,Union,"3,650","1,197",0,,,"4,847"
Senate,Volusia,"125,762","102,819",0,,,"228,581"
Senate,Wakulla,"9,322","4,868",0,,,"14,190"
