Race,county,Registered Voters,REP,DEM,LIB,Total,Turnout
GA-01,Bacon,6010,3260,485,,3745,0.62312812
GA-01,Brantley,9984,5084,529,,5613,0.562199519
GA-01,Bryan,25712,10585,4307,,14892,0.579184816
GA-01,Camden,31632,11167,5725,,16892,0.534016186
GA-01,Charlton,6072,2520,808,,3328,0.548089592
GA-01,Chatham,188315,42901,59674,,102575,0.544699041
GA-01,Clinch,3884,1688,513,,2201,0.566683831
GA-01,Echols,1929,1001,122,,1123,0.582166926
GA-01,Effingham,25450,11196,3233,,14429,0.566954813
GA-01,Glynn,54274,20846,11429,,32275,0.594667797
GA-01,Liberty,31051,5764,9458,,15222,0.490225758
GA-01,Long,7606,2609,1335,,3944,0.518537996
GA-01,Lowndes,17145,844,532,,1376,0.080256635
GA-01,McIntosh,8962,3251,2068,,5319,0.593505914
GA-01,Pierce,10855,6074,741,,6815,0.627821281
GA-01,Ware,18506,7907,3009,,10916,0.589862747
GA-01,Wayne,15675,8044,1974,,10018,0.639106858
GA-01,Total:,463062,144741,105942,,250683,0.541359472
GA-02,Baker,2232,606,649,,1255,0.562275986
GA-02,Bibb,71662,10908,27750,,38658,0.53944908
GA-02,Calhoun,2982,586,1287,,1873,0.628101945
GA-02,Chattahoochee,3132,546,541,,1087,0.34706258
GA-02,Clay,1856,438,729,,1167,0.628771552
GA-02,Crawford,7459,3351,1507,,4858,0.651293739
GA-02,Crisp,11674,3802,3103,,6905,0.591485352
GA-02,Decatur,15201,5139,3874,,9013,0.592921518
GA-02,Dooly,5669,1649,2021,,3670,0.64738049
GA-02,Dougherty,57817,8431,22647,,31078,0.537523566
GA-02,Early,6992,1957,2135,,4092,0.585240275
GA-02,Grady,13546,5148,3136,,8284,0.611545844
GA-02,Lee,21012,9270,4145,,13415,0.638444698
GA-02,Macon,6569,1354,2777,,4131,0.628862841
GA-02,Marion,4468,1720,1169,,2889,0.64659803
GA-02,Miller,3814,1569,670,,2239,0.587047719
GA-02,Mitchell,13324,3630,3721,,7351,0.551711198
GA-02,Muscogee,88540,12065,32823,,44888,0.506979896
GA-02,Peach,16632,5123,5148,,10271,0.617544493
GA-02,Quitman,1519,449,465,,914,0.601711652
GA-02,Randolph,4154,1023,1710,,2733,0.657920077
GA-02,Schley,2645,1449,453,,1902,0.719092628
GA-02,Seminole,5341,1922,1265,,3187,0.596704737
GA-02,Stewart,2917,641,1116,,1757,0.602331162
GA-02,Sumter,16395,4611,5827,,10438,0.636657518
GA-02,Talbot,4334,1067,1814,,2881,0.664743886
GA-02,Taylor,5068,1894,1361,,3255,0.642265193
GA-02,Terrell,6366,1518,2372,,3890,0.61105875
GA-02,Webster,1493,606,484,,1090,0.730073677
GA-02,Total:,404813,92472,136699,,229171,0.566115713
GA-03,Carroll,72908,29242,11931,,41173,0.564725407
GA-03,Coweta,91585,40679,16573,,57252,0.625124202
GA-03,Fayette,71364,29306,17527,,46833,0.656255255
GA-03,Harris,22877,11861,3892,,15753,0.688595533
GA-03,Heard,6678,3309,664,,3973,0.594938604
GA-03,Henry,52044,11702,16852,,28554,0.548651141
GA-03,Lamar,11288,5076,2153,,7229,0.6404146
GA-03,Meriwether,13710,5055,3428,,8483,0.618745441
GA-03,Muscogee,39462,11683,5906,,17589,0.445719933
GA-03,Pike,12212,7261,1149,,8410,0.688666885
GA-03,Spalding,41325,14950,8919,,23869,0.577592257
GA-03,Troup,38876,14809,8690,,23499,0.604460335
GA-03,Upson,15930,7063,3326,,10389,0.652165725
GA-03,Total:,490259,191996,101010,,293006,0.597655525
GA-04,DeKalb,262730,15659,139933,,155592,0.592212538
GA-04,Gwinnett,108061,21811,42818,,64629,0.598078863
GA-04,Newton,60482,11896,20648,,32544,0.538077445
GA-04,Rockdale,58299,11726,24318,,36044,0.618261034
GA-04,Total:,489572,61092,227717,,288809,0.589921401
GA-05,Clayton,64962,,29112,,29112,0.448138912
GA-05,DeKalb,124030,,73459,,73459,0.592268
GA-05,Fulton,343478,,172835,,172835,0.503190888
GA-05,Total:,532470,,275406,,275406,0.517223506
GA-06,Cobb,149922,51297,40807,,92104,0.614346127
GA-06,DeKalb,107971,29155,43573,,72728,0.673588278
GA-06,Fulton,237309,76423,75759,,152182,0.641282042
GA-06,Total:,495202,156875,160139,,317014,0.640171082
GA-07,Forsyth,116899,44920,21181,,66101,0.565453939
GA-07,Gwinnett,367063,95510,118830,,214340,0.583932458
GA-07,Total:,483962,140430,140011,,280441,0.579469049
GA-08,Atkinson,4252,2023,,,2023,0.475776105
GA-08,Ben Hill,9258,4320,,,4320,0.466623461
GA-08,Berrien,10247,5633,,,5633,0.54972187
GA-08,Bibb,34603,15326,,,15326,0.442909574
GA-08,Bleckley,6944,4100,,,4100,0.590437788
GA-08,Brooks,9911,4167,,,4167,0.420441933
GA-08,Colquitt,21948,10819,,,10819,0.492937853
GA-08,Cook,9423,4849,,,4849,0.514591956
GA-08,Dodge,11055,5751,,,5751,0.520217096
GA-08,Houston,93924,43850,,,43850,0.466866828
GA-08,Irwin,5277,2960,,,2960,0.560924768
GA-08,Jones,18194,9781,,,9781,0.537594811
GA-08,Lanier,5034,2214,,,2214,0.439809297
GA-08,Lowndes,67459,25382,,,25382,0.376258172
GA-08,Monroe,18724,10529,,,10529,0.562326426
GA-08,Pulaski,5293,2881,,,2881,0.544303797
GA-08,Telfair,5525,2652,,,2652,0.48
GA-08,Thomas,27686,12863,,,12863,0.464603048
GA-08,Tift,22064,11195,,,11195,0.5073876
GA-08,Turner,5126,2635,,,2635,0.51404604
GA-08,Twiggs,5849,2597,,,2597,0.444007523
GA-08,Wilcox,4237,2304,,,2304,0.543780977
GA-08,Wilkinson,6016,2809,,,2809,0.466921543
GA-08,Worth,12645,6512,,,6512,0.514986161
GA-08,Total:,420694,198152,,,198152,0.471012185
GA-09,Banks,10807,6070,676,,6746,0.624225039
GA-09,Clarke,12334,1328,3399,,4727,0.383249554
GA-09,Dawson,18278,9874,1539,,11413,0.624411861
GA-09,Elbert,11123,5055,2207,,7262,0.652881417
GA-09,Fannin,17200,9200,1845,,11045,0.642151163
GA-09,Forsyth,72002,21612,4660,,26272,0.364878753
GA-09,Franklin,13069,6953,1093,,8046,0.615655368
GA-09,Gilmer,19069,10322,2001,,12323,0.646232104
GA-09,Habersham,24707,12788,2471,,15259,0.617598252
GA-09,Hall,114817,49430,16991,,66421,0.578494474
GA-09,Hart,14706,7237,2187,,9424,0.640826873
GA-09,Jackson,42272,21814,4734,,26548,0.628028009
GA-09,Lumpkin,19567,9120,2280,,11400,0.582613584
GA-09,Madison,18018,9041,2468,,11509,0.638750139
GA-09,Pickens,15529,7350,1412,,8762,0.564234658
GA-09,Rabun,11513,5965,1484,,7449,0.64700773
GA-09,Stephens,17058,7243,1705,,8948,0.524563255
GA-09,Towns,9386,4910,1110,,6020,0.64138078
GA-09,Union,17800,9802,1904,,11706,0.657640449
GA-09,White,18137,9547,1746,,11293,0.622649832
