IA-01,County,Registered Voters,REP,DEM,LIB,IND,GRB,Write-In,Total
IA-01,Allamakee,0,3073,2353,225,,,1,5652
IA-01,Benton,0,6465,4698,407,,,11,11581
IA-01,Black Hawk,0,22103,29667,1337,,,16,53123
IA-01,Bremer,0,5908,5182,326,,,3,11419
IA-01,Buchanan,0,4166,3977,306,,,4,8453
IA-01,Clayton,0,4320,3311,256,,,5,7892
IA-01,Delaware,0,4475,2810,209,,,3,7497
IA-01,Dubuque,0,19282,22359,1085,,,21,42747
IA-01,Fayette,0,4167,3701,325,,,3,8196
IA-01,Howard,0,1878,1587,144,,,2,3611
IA-01,Iowa,0,4203,3099,290,,,3,7595
IA-01,Jackson,0,4483,3797,230,,,2,8512
IA-01,Jones,0,4490,3787,286,,,2,8565
IA-01,Linn,0,40733,57712,3340,,,82,101867
IA-01,Marshall,0,7124,6611,404,,,7,14146
IA-01,Mitchell,0,2518,1836,147,,,1,4502
IA-01,Poweshiek,0,4044,3966,229,,,3,8242
IA-01,Tama,0,3780,3257,239,,,4,7280
IA-01,Winneshiek,0,4364,5102,391,,,1,9858
IA-01,Worth,0,1866,1530,109,,,0,3505
IA-01,Total:,0,153442,170342,10285,,,174,334243
IA-02,Appanoose,0,2770,2055,91,35,,6,4957
IA-02,Cedar,0,3725,4098,179,37,,5,8044
IA-02,Clarke,0,1939,1525,115,34,,4,3617
IA-02,Clinton,0,7725,9864,307,92,,16,18004
IA-02,Davis,0,1646,1389,57,9,,2,3103
IA-02,Decatur,0,1651,1122,83,29,,1,2886
IA-02,Des Moines,0,6138,8546,285,81,,7,15057
IA-02,Henry,0,3950,3211,120,120,,1,7402
IA-02,Jasper,0,7622,7519,354,100,,11,15606
IA-02,Jefferson,0,2644,4201,135,39,,4,7023
IA-02,Johnson,0,16998,49010,1155,482,,29,67674
IA-02,Keokuk,0,2377,1574,66,21,,1,4039
IA-02,Lee,0,5578,6515,263,62,,8,12426
IA-02,Louisa,0,2031,1679,60,21,,1,3792
IA-02,Lucas,0,2106,1295,78,25,,4,3508
IA-02,Mahaska,0,5489,2712,191,51,,5,8448
IA-02,Marion,0,8796,5630,335,85,,14,14860
IA-02,Monroe,0,1717,1294,69,23,,0,3103
IA-02,Muscatine,0,6569,7797,327,98,,3,14794
IA-02,Scott,0,29012,38273,1372,235,,20,68912
IA-02,Van Buren,0,1634,1197,44,23,,1,2899
IA-02,Wapello,0,5169,5775,266,78,,16,11304
IA-02,Washington,0,4595,4272,187,40,,3,9097
IA-02,Wayne,0,1406,884,42,17,,0,2349
IA-02,Total:,0,133287,171437,6181,1837,,162,312904
IA-03,Adair,0,2205,1067,78,32,14,1,3397
IA-03,Adams,0,1152,518,42,8,10,0,1730
IA-03,Cass,0,3829,1777,93,43,29,1,5772
IA-03,Dallas,0,21089,18593,761,301,183,21,40948
IA-03,Fremont,0,1933,990,41,31,20,3,3018
IA-03,Guthrie,0,3159,1622,142,39,29,1,4992
IA-03,Madison,0,4749,2589,166,74,35,3,7616
IA-03,Mills,0,3941,2146,137,50,32,2,6308
IA-03,Montgomery,0,2631,1209,62,35,19,1,3957
IA-03,Page,0,3776,1741,65,30,18,2,5632
IA-03,Polk,0,82404,115877,3981,1974,1108,120,205464
IA-03,Pottawattamie,0,18181,14044,982,388,180,22,33797
IA-03,Ringgold,0,1493,716,35,17,13,0,2274
IA-03,Taylor,0,1683,673,36,17,18,1,2428
IA-03,Union,0,2930,1717,114,52,44,0,4857
IA-03,Warren,0,12778,10363,532,225,136,17,24051
IA-03,Total:,0,167933,175642,7267,3316,1888,195,356241
IA-04,Audubon,0,1378,1234,43,13,,1,2669
IA-04,Boone,0,5350,6353,285,83,,3,12074
IA-04,Buena Vista,0,3228,3178,116,43,,3,6568
IA-04,Butler,0,3675,2199,150,41,,5,6070
IA-04,Calhoun,0,2312,1838,90,26,,2,4268
IA-04,Carroll,0,4615,4043,137,50,,4,8849
IA-04,Cerro Gordo,0,7620,10688,410,166,,11,18895
IA-04,Cherokee,0,2702,2359,60,27,,1,5149
IA-04,Chickasaw,0,2671,2345,120,43,,2,5181
IA-04,Clay,0,3555,3125,127,46,,7,6860
IA-04,Crawford,0,3025,2248,103,38,,1,5415
IA-04,Dickinson,0,4676,3931,131,43,,6,8787
IA-04,Emmet,0,1879,1743,63,34,,1,3720
IA-04,Floyd,0,2841,3205,153,54,,4,6257
IA-04,Franklin,0,2229,1717,88,33,,0,4067
IA-04,Greene,0,1999,1945,81,21,,4,4050
IA-04,Grundy,0,3540,1996,116,44,,7,5703
IA-04,Hamilton,0,3215,2942,129,46,,6,6338
IA-04,Hancock,0,2765,1843,120,36,,4,4768
IA-04,Hardin,0,3917,3027,149,60,,2,7155
IA-04,Harrison,0,3559,2237,131,55,,3,5985
IA-04,Humboldt,0,2481,1465,75,29,,2,4052
IA-04,Ida,0,1757,1117,45,16,,3,2938
IA-04,Kossuth,0,3942,3171,120,37,,1,7271
IA-04,Lyon,0,3716,1355,62,31,,8,5172
IA-04,Monona,0,2055,1671,58,21,,4,3809
IA-04,O'Brien,0,3795,1916,79,29,,0,5819
IA-04,Osceola,0,1663,709,30,18,,2,2422
IA-04,Palo Alto,0,1925,1701,58,11,,5,3700
IA-04,Plymouth,0,6503,4084,158,35,,4,10784
IA-04,Pocahontas,0,1831,1201,72,16,,0,3120
IA-04,Sac,0,2549,1686,55,24,,1,4315
IA-04,Shelby,0,3070,1817,96,41,,7,5031
IA-04,Sioux,0,10824,3682,182,57,,23,14768
IA-04,Story,0,13474,27569,1178,250,,32,42503
IA-04,Webster,0,6706,6918,277,103,,5,14009
IA-04,Winnebago,0,2233,2181,128,53,,2,4597
IA-04,Woodbury,0,15708,18686,562,161,,28,35145
IA-04,Wright,0,2650,2085,123,26,,2,4886
IA-04,Total:,0,157633,147210,6160,1960,,206,313169
Governor,Adair,0,2213,1167,49,15,,0,3444
Governor,Adams,0,1160,549,29,9,,0,1747
Governor,Allamakee,0,3326,2165,90,98,,1,5680
Governor,Appanoose,0,3101,1834,86,26,,2,5049
Governor,Audubon,0,1658,990,34,12,,0,2694
Governor,Benton,0,6845,4482,226,69,,7,11629
Governor,Black Hawk,0,22786,29259,855,335,,23,53258
Governor,Boone,0,6107,5810,208,71,,5,12201
Governor,Bremer,0,6220,4999,173,57,,1,11450
Governor,Buchanan,0,4400,3865,155,70,,3,8493
Governor,Buena Vista,0,3771,2649,101,43,,1,6565
Governor,Butler,0,3952,2064,81,59,,0,6156
Governor,Calhoun,0,2703,1461,113,22,,1,4300
