Senate,County_Name,Registered_Voters,Total_Voters,Turnout_pct,REP,DEM,LIB,GRN,WI,TOTAL,REP_pct,DEM_pct,LIB_pct,GRN_pct,WI_pct
Senate,Total,8070917,4382382,54.3,2011832,2286730,NA,NA,981,4299543,46.79,53.19,NA,NA,0.02
Senate,Adams,17264,8826,51.12,5908,2596,NA,NA,8,8512,69.41,30.5,NA,NA,0.09
Senate,Allen,69338,35698,51.48,21077,14048,NA,NA,7,35132,59.99,39.99,NA,NA,0.02
Senate,Ashland,35529,18785,52.87,11868,6374,NA,NA,3,18245,65.05,34.94,NA,NA,0.02
Senate,Ashtabula,62311,32378,51.96,15494,16112,NA,NA,0,31606,49.02,50.98,NA,NA,0
Senate,Athens,45318,21675,47.83,6766,14392,NA,NA,3,21161,31.97,68.01,NA,NA,0.01
Senate,Auglaize,32253,19170,59.44,13334,5415,NA,NA,1,18750,71.11,28.88,NA,NA,0.01
Senate,Belmont,47702,24904,52.21,12941,11409,NA,NA,7,24357,53.13,46.84,NA,NA,0.03
Senate,Brown,28950,14912,51.51,10011,4584,NA,NA,3,14598,68.58,31.4,NA,NA,0.02
Senate,Butler,254708,134183,52.68,78395,53728,NA,NA,26,132149,59.32,40.66,NA,NA,0.02
Senate,Carroll,18315,10385,56.7,6410,3736,NA,NA,2,10148,63.17,36.82,NA,NA,0.02
Senate,Champaign,26398,14951,56.64,9181,5332,NA,NA,0,14513,63.26,36.74,NA,NA,0
Senate,Clark,90384,47672,52.74,23907,22958,NA,NA,7,46872,51,48.98,NA,NA,0.01
Senate,Clermont,141345,79350,56.14,50949,27210,NA,NA,5,78164,65.18,34.81,NA,NA,0.01
Senate,Clinton,27252,14909,54.71,10085,4530,NA,NA,1,14616,69,30.99,NA,NA,0.01
Senate,Columbiana,66688,35983,53.96,21500,13765,NA,NA,4,35269,60.96,39.03,NA,NA,0.01
Senate,Coshocton,23119,11915,51.54,7014,4570,NA,NA,1,11585,60.54,39.45,NA,NA,0.01
Senate,Crawford,28557,14464,50.65,8958,5240,NA,NA,2,14200,63.08,36.9,NA,NA,0.01
Senate,Cuyahoga,902652,477651,52.92,130439,338519,NA,NA,109,469067,27.81,72.17,NA,NA,0.02
Senate,Darke,34566,19567,56.61,13690,5469,NA,NA,2,19161,71.45,28.54,NA,NA,0.01
Senate,Defiance,26283,14009,53.3,7921,5724,NA,NA,5,13650,58.03,41.93,NA,NA,0.04
Senate,Delaware,141937,93196,65.66,48315,43329,NA,NA,5,91649,52.72,47.28,NA,NA,0.01
Senate,Erie,54213,30252,55.8,13390,16255,NA,NA,6,29651,45.16,54.82,NA,NA,0.02
Senate,Fairfield,103718,58675,56.57,31929,25635,NA,NA,21,57585,55.45,44.52,NA,NA,0.04
Senate,Fayette,16737,8474,50.63,5468,2856,NA,NA,1,8325,65.68,34.31,NA,NA,0.01
Senate,Franklin,881645,476629,54.06,148064,321920,NA,NA,76,470060,31.5,68.48,NA,NA,0.02
Senate,Fulton,29612,16283,54.99,9323,6612,NA,NA,3,15938,58.5,41.49,NA,NA,0.02
