"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes"
"2018 General Election","ADAMS","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","14,880","0","0"
"2018 General Election","ADAMS","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","23,419","0","0"
"2018 General Election","ADAMS","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","292","0","0"
"2018 General Election","ADAMS","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","511","0","0"
"2018 General Election","ADAMS","Governor","Statewide","Democratic","WOLF, THOMAS W ","15,862","0","0"
"2018 General Election","ADAMS","Governor","Statewide","Republican","WAGNER, SCOTT R ","22,501","0","0"
"2018 General Election","ADAMS","Governor","Statewide","Green","GLOVER, PAUL ","255","0","0"
"2018 General Election","ADAMS","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","435","0","0"
"2018 General Election","ADAMS","Representative in Congress","13th Congressional District","Democratic","OTTAWAY, BRENT M ","13,228","0","0"
"2018 General Election","ADAMS","Representative in Congress","13th Congressional District","Republican","JOYCE, JOHN ","25,552","0","0"
"2018 General Election","ALLEGHENY","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","352,916","0","0"
"2018 General Election","ALLEGHENY","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","175,534","0","0"
"2018 General Election","ALLEGHENY","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","3,204","0","0"
"2018 General Election","ALLEGHENY","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","6,150","0","0"
"2018 General Election","ALLEGHENY","Governor","Statewide","Democratic","WOLF, THOMAS W ","362,133","0","0"
"2018 General Election","ALLEGHENY","Governor","Statewide","Republican","WAGNER, SCOTT R ","168,136","0","0"
"2018 General Election","ALLEGHENY","Governor","Statewide","Green","GLOVER, PAUL ","2,427","0","0"
"2018 General Election","ALLEGHENY","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","5,193","0","0"
"2018 General Election","ALLEGHENY","Representative in Congress","17th Congressional District","Democratic","LAMB, CONOR JAMES ","144,555","0","0"
"2018 General Election","ALLEGHENY","Representative in Congress","17th Congressional District","Republican","ROTHFUS, KEITH ","101,653","0","0"
"2018 General Election","ALLEGHENY","Representative in Congress","18th Congressional District","Democratic","DOYLE, MICHAEL F JR","229,098","0","0"
"2018 General Election","ARMSTRONG","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","8,564","0","0"
"2018 General Election","ARMSTRONG","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","15,439","0","0"
"2018 General Election","ARMSTRONG","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","159","0","0"
"2018 General Election","ARMSTRONG","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","309","0","0"
"2018 General Election","ARMSTRONG","Governor","Statewide","Democratic","WOLF, THOMAS W ","8,835","0","0"
"2018 General Election","ARMSTRONG","Governor","Statewide","Republican","WAGNER, SCOTT R ","15,362","0","0"
"2018 General Election","ARMSTRONG","Governor","Statewide","Green","GLOVER, PAUL ","153","0","0"
"2018 General Election","ARMSTRONG","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","278","0","0"
"2018 General Election","ARMSTRONG","Representative in Congress","15th Congressional District","Democratic","BOSER, SUSAN ","7,266","0","0"
"2018 General Election","ARMSTRONG","Representative in Congress","15th Congressional District","Republican","THOMPSON, GLENN WILLIAM JR","16,291","0","0"
"2018 General Election","BEAVER","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","34,442","0","0"
"2018 General Election","BEAVER","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","31,916","0","0"
"2018 General Election","BEAVER","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","437","0","0"
"2018 General Election","BEAVER","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","847","0","0"
"2018 General Election","BEAVER","Governor","Statewide","Democratic","WOLF, THOMAS W ","36,166","0","0"
"2018 General Election","BEAVER","Governor","Statewide","Republican","WAGNER, SCOTT R ","30,593","0","0"
"2018 General Election","BEAVER","Governor","Statewide","Green","GLOVER, PAUL ","406","0","0"
"2018 General Election","BEAVER","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","711","0","0"
"2018 General Election","BEAVER","Representative in Congress","17th Congressional District","Democratic","LAMB, CONOR JAMES ","32,782","0","0"
"2018 General Election","BEAVER","Representative in Congress","17th Congressional District","Republican","ROTHFUS, KEITH ","35,085","0","0"
"2018 General Election","BEDFORD","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","4,565","0","0"
"2018 General Election","BEDFORD","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","14,027","0","0"
"2018 General Election","BEDFORD","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","83","0","0"
"2018 General Election","BEDFORD","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","128","0","0"
"2018 General Election","BEDFORD","Governor","Statewide","Democratic","WOLF, THOMAS W ","4,406","0","0"
"2018 General Election","BEDFORD","Governor","Statewide","Republican","WAGNER, SCOTT R ","14,242","0","0"
"2018 General Election","BEDFORD","Governor","Statewide","Green","GLOVER, PAUL ","84","0","0"
"2018 General Election","BEDFORD","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","110","0","0"
"2018 General Election","BEDFORD","Representative in Congress","13th Congressional District","Democratic","OTTAWAY, BRENT M ","3,463","0","0"
"2018 General Election","BEDFORD","Representative in Congress","13th Congressional District","Republican","JOYCE, JOHN ","14,267","0","0"
"2018 General Election","BERKS","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","73,714","0","0"
"2018 General Election","BERKS","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","68,159","0","0"
"2018 General Election","BERKS","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","977","0","0"
"2018 General Election","BERKS","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","1,683","0","0"
"2018 General Election","BERKS","Governor","Statewide","Democratic","WOLF, THOMAS W ","76,136","0","0"
"2018 General Election","BERKS","Governor","Statewide","Republican","WAGNER, SCOTT R ","65,756","0","0"
"2018 General Election","BERKS","Governor","Statewide","Green","GLOVER, PAUL ","915","0","0"
"2018 General Election","BERKS","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","1,619","0","0"
"2018 General Election","BERKS","Representative in Congress","4th Congressional District","Democratic","DEAN CUNNANE , MADELEINE ","2,838","0","0"
"2018 General Election","BERKS","Representative in Congress","4th Congressional District","Republican","DAVID, DANIEL ","4,163","0","0"
"2018 General Election","BERKS","Representative in Congress","6th Congressional District","Democratic","HOULAHAN, CHRISTINA JAMPOLER ","36,687","0","0"
"2018 General Election","BERKS","Representative in Congress","6th Congressional District","Republican","MCCAULEY, GREGORY MICHAEL SENIOR","26,142","0","0"
"2018 General Election","BERKS","Representative in Congress","9th Congressional District","Democratic","WOLFF, DENNIS ","30,621","0","0"
"2018 General Election","BERKS","Representative in Congress","9th Congressional District","Republican","MEUSER, DANIEL ","38,727","0","0"
"2018 General Election","BLAIR","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","14,599","0","0"
"2018 General Election","BLAIR","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","27,826","0","0"
"2018 General Election","BLAIR","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","258","0","0"
"2018 General Election","BLAIR","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","482","0","0"
"2018 General Election","BLAIR","Governor","Statewide","Democratic","WOLF, THOMAS W ","14,622","0","0"
"2018 General Election","BLAIR","Governor","Statewide","Republican","WAGNER, SCOTT R ","28,175","0","0"
"2018 General Election","BLAIR","Governor","Statewide","Green","GLOVER, PAUL ","217","0","0"
"2018 General Election","BLAIR","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","508","0","0"
"2018 General Election","BLAIR","Representative in Congress","13th Congressional District","Democratic","OTTAWAY, BRENT M ","11,973","0","0"
"2018 General Election","BLAIR","Representative in Congress","13th Congressional District","Republican","JOYCE, JOHN ","29,695","0","0"
"2018 General Election","BRADFORD","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","6,876","0","0"
"2018 General Election","BRADFORD","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","12,988","0","0"
"2018 General Election","BRADFORD","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","141","0","0"
"2018 General Election","BRADFORD","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","226","0","0"
"2018 General Election","BRADFORD","Governor","Statewide","Democratic","WOLF, THOMAS W ","6,810","0","0"
"2018 General Election","BRADFORD","Governor","Statewide","Republican","WAGNER, SCOTT R ","13,026","0","0"
"2018 General Election","BRADFORD","Governor","Statewide","Green","GLOVER, PAUL ","175","0","0"
"2018 General Election","BRADFORD","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","318","0","0"
"2018 General Election","BRADFORD","Representative in Congress","12th Congressional District","Democratic","FRIEDENBERG, MARC ","5,691","0","0"
"2018 General Election","BRADFORD","Representative in Congress","12th Congressional District","Republican","MARINO, THOMAS A ","14,255","0","0"
"2018 General Election","BUCKS","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","165,408","0","0"
"2018 General Election","BUCKS","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","124,133","0","0"
"2018 General Election","BUCKS","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","1,903","0","0"
"2018 General Election","BUCKS","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","2,873","0","0"
"2018 General Election","BUCKS","Governor","Statewide","Democratic","WOLF, THOMAS W ","172,302","0","0"
"2018 General Election","BUCKS","Governor","Statewide","Republican","WAGNER, SCOTT R ","117,912","0","0"
"2018 General Election","BUCKS","Governor","Statewide","Green","GLOVER, PAUL ","1,513","0","0"
"2018 General Election","BUCKS","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","2,602","0","0"
"2018 General Election","BUCKS","Representative in Congress","1st Congressional District","Democratic","WALLACE, HENRY SCOTT ","141,577","0","0"
"2018 General Election","BUCKS","Representative in Congress","1st Congressional District","Republican","FITZPATRICK, BRIAN K ","152,461","0","0"
"2018 General Election","BUTLER","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","31,010","0","0"
"2018 General Election","BUTLER","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","46,875","0","0"
"2018 General Election","BUTLER","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","488","0","0"
"2018 General Election","BUTLER","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","1,122","0","0"
"2018 General Election","BUTLER","Governor","Statewide","Democratic","WOLF, THOMAS W ","32,891","0","0"
"2018 General Election","BUTLER","Governor","Statewide","Republican","WAGNER, SCOTT R ","45,242","0","0"
"2018 General Election","BUTLER","Governor","Statewide","Green","GLOVER, PAUL ","490","0","0"
"2018 General Election","BUTLER","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","1,088","0","0"
"2018 General Election","BUTLER","Representative in Congress","15th Congressional District","Democratic","BOSER, SUSAN ","3,996","0","0"
"2018 General Election","BUTLER","Representative in Congress","15th Congressional District","Republican","THOMPSON, GLENN WILLIAM JR","10,231","0","0"
"2018 General Election","BUTLER","Representative in Congress","16th Congressional District","Democratic","DINICOLA, RONALD A ","20,472","0","0"
"2018 General Election","BUTLER","Representative in Congress","16th Congressional District","Republican","KELLY, GEORGE J JR","35,533","0","0"
"2018 General Election","BUTLER","Representative in Congress","16th Congressional District","Libertarian","BEEMAN, EBERT G BILL ","774","0","0"
"2018 General Election","BUTLER","Representative in Congress","17th Congressional District","Democratic","LAMB, CONOR JAMES ","4,031","0","0"
"2018 General Election","BUTLER","Representative in Congress","17th Congressional District","Republican","ROTHFUS, KEITH ","4,612","0","0"
"2018 General Election","CAMBRIA","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","21,590","0","0"
"2018 General Election","CAMBRIA","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","27,367","0","0"
"2018 General Election","CAMBRIA","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","247","0","0"
"2018 General Election","CAMBRIA","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","403","0","0"
"2018 General Election","CAMBRIA","Governor","Statewide","Democratic","WOLF, THOMAS W ","21,639","0","0"
"2018 General Election","CAMBRIA","Governor","Statewide","Republican","WAGNER, SCOTT R ","27,530","0","0"
"2018 General Election","CAMBRIA","Governor","Statewide","Green","GLOVER, PAUL ","312","0","0"
"2018 General Election","CAMBRIA","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","413","0","0"
"2018 General Election","CAMBRIA","Representative in Congress","13th Congressional District","Democratic","OTTAWAY, BRENT M ","7,098","0","0"
"2018 General Election","CAMBRIA","Representative in Congress","13th Congressional District","Republican","JOYCE, JOHN ","9,172","0","0"
"2018 General Election","CAMBRIA","Representative in Congress","15th Congressional District","Democratic","BOSER, SUSAN ","11,481","0","0"
"2018 General Election","CAMBRIA","Representative in Congress","15th Congressional District","Republican","THOMPSON, GLENN WILLIAM JR","21,683","0","0"
"2018 General Election","CAMERON","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","653","0","0"
"2018 General Election","CAMERON","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","1,080","0","0"
"2018 General Election","CAMERON","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","10","0","0"
"2018 General Election","CAMERON","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","22","0","0"
"2018 General Election","CAMERON","Governor","Statewide","Democratic","WOLF, THOMAS W ","619","0","0"
"2018 General Election","CAMERON","Governor","Statewide","Republican","WAGNER, SCOTT R ","1,127","0","0"
"2018 General Election","CAMERON","Governor","Statewide","Green","GLOVER, PAUL ","10","0","0"
"2018 General Election","CAMERON","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","17","0","0"
"2018 General Election","CAMERON","Representative in Congress","15th Congressional District","Democratic","BOSER, SUSAN ","527","0","0"
"2018 General Election","CAMERON","Representative in Congress","15th Congressional District","Republican","THOMPSON, GLENN WILLIAM JR","1,242","0","0"
"2018 General Election","CARBON","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","8,737","0","0"
"2018 General Election","CARBON","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","13,518","0","0"
"2018 General Election","CARBON","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","119","0","0"
"2018 General Election","CARBON","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","197","0","0"
"2018 General Election","CARBON","Governor","Statewide","Democratic","WOLF, THOMAS W ","9,658","0","0"
"2018 General Election","CARBON","Governor","Statewide","Republican","WAGNER, SCOTT R ","12,475","0","0"
"2018 General Election","CARBON","Governor","Statewide","Green","GLOVER, PAUL ","140","0","0"
"2018 General Election","CARBON","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","267","0","0"
"2018 General Election","CARBON","Representative in Congress","9th Congressional District","Democratic","WOLFF, DENNIS ","8,648","0","0"
"2018 General Election","CARBON","Representative in Congress","9th Congressional District","Republican","MEUSER, DANIEL ","13,141","0","0"
"2018 General Election","CENTRE","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","34,778","0","0"
"2018 General Election","CENTRE","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","24,332","0","0"
"2018 General Election","CENTRE","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","632","0","0"
"2018 General Election","CENTRE","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","922","0","0"
"2018 General Election","CENTRE","Governor","Statewide","Democratic","WOLF, THOMAS W ","34,961","0","0"
"2018 General Election","CENTRE","Governor","Statewide","Republican","WAGNER, SCOTT R ","24,353","0","0"
"2018 General Election","CENTRE","Governor","Statewide","Green","GLOVER, PAUL ","515","0","0"
"2018 General Election","CENTRE","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","849","0","0"
"2018 General Election","CENTRE","Representative in Congress","12th Congressional District","Democratic","FRIEDENBERG, MARC ","21,776","0","0"
"2018 General Election","CENTRE","Representative in Congress","12th Congressional District","Republican","MARINO, THOMAS A ","12,621","0","0"
"2018 General Election","CENTRE","Representative in Congress","15th Congressional District","Democratic","BOSER, SUSAN ","10,626","0","0"
"2018 General Election","CENTRE","Representative in Congress","15th Congressional District","Republican","THOMPSON, GLENN WILLIAM JR","15,270","0","0"
"2018 General Election","CHESTER","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","140,138","0","0"
"2018 General Election","CHESTER","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","92,380","0","0"
"2018 General Election","CHESTER","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","1,587","0","0"
"2018 General Election","CHESTER","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","2,613","0","0"
"2018 General Election","CHESTER","Governor","Statewide","Democratic","WOLF, THOMAS W ","145,212","0","0"
"2018 General Election","CHESTER","Governor","Statewide","Republican","WAGNER, SCOTT R ","87,873","0","0"
"2018 General Election","CHESTER","Governor","Statewide","Green","GLOVER, PAUL ","1,242","0","0"
"2018 General Election","CHESTER","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","2,448","0","0"
"2018 General Election","CHESTER","Representative in Congress","5th Congressional District","Democratic","SCANLON, MARY GAY ","22,066","0","0"
"2018 General Election","CHESTER","Representative in Congress","5th Congressional District","Republican","KIM, PEARL ","22,662","0","0"
"2018 General Election","CHESTER","Representative in Congress","6th Congressional District","Democratic","HOULAHAN, CHRISTINA JAMPOLER ","139,804","0","0"
"2018 General Election","CHESTER","Representative in Congress","6th Congressional District","Republican","MCCAULEY, GREGORY MICHAEL SENIOR","97,054","0","0"
"2018 General Election","CLARION","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","4,924","0","0"
"2018 General Election","CLARION","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","8,838","0","0"
"2018 General Election","CLARION","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","87","0","0"
"2018 General Election","CLARION","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","182","0","0"
"2018 General Election","CLARION","Governor","Statewide","Democratic","WOLF, THOMAS W ","5,191","0","0"
"2018 General Election","CLARION","Governor","Statewide","Republican","WAGNER, SCOTT R ","8,594","0","0"
"2018 General Election","CLARION","Governor","Statewide","Green","GLOVER, PAUL ","114","0","0"
"2018 General Election","CLARION","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","195","0","0"
"2018 General Election","CLARION","Representative in Congress","15th Congressional District","Democratic","BOSER, SUSAN ","3,847","0","0"
"2018 General Election","CLARION","Representative in Congress","15th Congressional District","Republican","THOMPSON, GLENN WILLIAM JR","9,958","0","0"
"2018 General Election","CLEARFIELD","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","9,540","0","0"
"2018 General Election","CLEARFIELD","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","16,852","0","0"
"2018 General Election","CLEARFIELD","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","145","0","0"
"2018 General Election","CLEARFIELD","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","266","0","0"
"2018 General Election","CLEARFIELD","Governor","Statewide","Democratic","WOLF, THOMAS W ","9,235","0","0"
"2018 General Election","CLEARFIELD","Governor","Statewide","Republican","WAGNER, SCOTT R ","17,241","0","0"
"2018 General Election","CLEARFIELD","Governor","Statewide","Green","GLOVER, PAUL ","165","0","0"
"2018 General Election","CLEARFIELD","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","251","0","0"
"2018 General Election","CLEARFIELD","Representative in Congress","15th Congressional District","Democratic","BOSER, SUSAN ","7,367","0","0"
"2018 General Election","CLEARFIELD","Representative in Congress","15th Congressional District","Republican","THOMPSON, GLENN WILLIAM JR","19,476","0","0"
"2018 General Election","CLINTON","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","5,289","0","0"
"2018 General Election","CLINTON","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","6,869","0","0"
"2018 General Election","CLINTON","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","82","0","0"
"2018 General Election","CLINTON","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","138","0","0"
"2018 General Election","CLINTON","Governor","Statewide","Democratic","WOLF, THOMAS W ","5,517","0","0"
"2018 General Election","CLINTON","Governor","Statewide","Republican","WAGNER, SCOTT R ","6,727","0","0"
"2018 General Election","CLINTON","Governor","Statewide","Green","GLOVER, PAUL ","67","0","0"
"2018 General Election","CLINTON","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","165","0","0"
"2018 General Election","CLINTON","Representative in Congress","12th Congressional District","Democratic","FRIEDENBERG, MARC ","4,631","0","0"
"2018 General Election","CLINTON","Representative in Congress","12th Congressional District","Republican","MARINO, THOMAS A ","7,732","0","0"
"2018 General Election","COLUMBIA","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","8,837","0","0"
"2018 General Election","COLUMBIA","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","13,437","0","0"
"2018 General Election","COLUMBIA","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","140","0","0"
"2018 General Election","COLUMBIA","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","224","0","0"
"2018 General Election","COLUMBIA","Governor","Statewide","Democratic","WOLF, THOMAS W ","9,822","0","0"
